,sentence,item,type,condition,context_had,target
88,The attendant filled the car with gas and washed the windows.,165,control,high-cloze,The attendant filled the car with,gas
89,The attendant filled the car with shade and washed the windows.,165,control,low-cloze,The attendant filled the car with,shade
90,A female chicken is called a hen and her babies are called chicks.,166,control,high-cloze,A female chicken is called a,hen
91,A female chicken is called a hammer and her babies are called chicks.,166,control,low-cloze,A female chicken is called a,hammer
92,The policeman's gun was sitting in his shoulder holster when the phone rang.,167,control,high-cloze,The policeman's gun was sitting in his shoulder,holster
93,The policeman's gun was sitting in his shoulder leash when the phone rang.,167,control,low-cloze,The policeman's gun was sitting in his shoulder,leash
94,They could not afford to give their daughter piano lessons so she taught herself.,168,control,high-cloze,They could not afford to give their daughter piano,lessons
95,They could not afford to give their daughter piano muscles so she taught herself.,168,control,low-cloze,They could not afford to give their daughter piano,muscles
96,Cut me a slice of bread from that loaf sitting on the counter.,169,control,high-cloze,Cut me a slice of bread from that,loaf
97,Cut me a slice of bread from that holster sitting on the counter.,169,control,low-cloze,Cut me a slice of bread from that,holster
98,The maid loaded the laundry into the washing machine and poured in the detergent.,170,control,high-cloze,The maid loaded the laundry into the washing,machine
99,The maid loaded the laundry into the washing river and poured in the detergent.,170,control,low-cloze,The maid loaded the laundry into the washing,river
100,Before exercising Jack always stretches his muscles for at least ten minutes.,171,control,high-cloze,Before exercising Jack always stretches his,muscles
101,Before exercising Jack always stretches his luck for at least ten minutes.,171,control,low-cloze,Before exercising Jack always stretches his,luck
102,My car needs a new coat of paint as soon as possible.,172,control,high-cloze,My car needs a new coat of,paint
103,My car needs a new coat of fur as soon as possible.,172,control,low-cloze,My car needs a new coat of,fur
104,They placed an ad in the daily paper asking for a babysitter.,173,control,high-cloze,They placed an ad in the daily,paper
105,They placed an ad in the daily list asking for a babysitter.,173,control,low-cloze,They placed an ad in the daily,list
106,They ate ice cream and cake at his birthday party last Sunday afternoon.,174,control,high-cloze,They ate ice cream and cake at his birthday,party
107,They ate ice cream and cake at his birthday anniversary last Sunday afternoon.,174,control,low-cloze,They ate ice cream and cake at his birthday,anniversary
108,In the morning he forgot to take his vitamin pill so he had to take it later.,175,control,high-cloze,In the morning he forgot to take his vitamin,pill
109,In the morning he forgot to take his vitamin bread so he had to take it later.,175,control,low-cloze,In the morning he forgot to take his vitamin,bread
110,The horse collapsed right after winning the race at the famous racetrack.,176,control,high-cloze,The horse collapsed right after winning the,race
111,The horse collapsed right after winning the desk at the famous racetrack.,176,control,low-cloze,The horse collapsed right after winning the,desk
112,He finally decided to shingle the damaged roof that the storm had ruined last year.,177,control,high-cloze,He finally decided to shingle the damaged,roof
113,He finally decided to shingle the damaged city that the storm had ruined last year.,177,control,low-cloze,He finally decided to shingle the damaged,city
114,I ordered a ham and cheese sandwich for lunch yesterday.,178,control,high-cloze,I ordered a ham and cheese,sandwich
115,I ordered a ham and cheese bowl for lunch yesterday.,178,control,low-cloze,I ordered a ham and cheese,bowl
116,Pam weighed herself on the bathroom scale to monitor her progress.,179,control,high-cloze,Pam weighed herself on the bathroom,scale
117,Pam weighed herself on the bathroom machine to monitor her progress.,179,control,low-cloze,Pam weighed herself on the bathroom,machine
118,They're out in the garden pulling weeds so the flowers can grow.,180,control,high-cloze,They're out in the garden pulling,weeds
119,They're out in the garden pulling fries so the flowers can grow.,180,control,low-cloze,They're out in the garden pulling,fries
