Unnamed: 0,sentence,item,type,condition,patient,agent,context_had,target,patient_pos,agent_pos,target_pos,gpt2_surprisal,gpt2-medium_surprisal,gpt2-large_surprisal,bert-base-uncased_surprisal
51,the journalist reported which voters the politician had defeated by a wide margin.,26,substitution,low-cloze,voters,politician,The journalist reported which voters the politician had,defeated,4.0,6.0,8.0,8.741903305053711,9.34439754486084,8.212952613830566,5.530176639556885
52,the parent noticed which insects the child had collected in a jar.,27,substitution,high-cloze,insects,child,The parent noticed which insects the child had,collected,4.0,6.0,8.0,6.763733863830566,7.2773590087890625,6.12064790725708,7.559811115264893
53,the parent noticed which teacher the child had collected in a jar.,27,substitution,low-cloze,teacher,child,The parent noticed which teacher the child had,collected,4.0,6.0,8.0,14.243520736694336,13.983471870422363,12.288987159729004,10.517353057861328
54,the scribe recorded which loyalists the monarch had rewarded for their actions.,28,substitution,high-cloze,loyalists,monarch,The scribe recorded which loyalists the monarch had,rewarded,4.0,6.0,8.0,12.239826202392578,10.47615909576416,9.103894233703612,6.214466571807861
55,the scribe recorded which rebels the monarch had rewarded for their actions.,28,substitution,low-cloze,rebels,monarch,The scribe recorded which rebels the monarch had,rewarded,4.0,6.0,8.0,14.14894962310791,11.447836875915527,10.116830825805664,7.169647216796875
56,the teacher remembered which delinquent the principal had suspended for a week.,29,substitution,high-cloze,delinquent,principal,The teacher remembered which delinquent the principal had,suspended,4.0,6.0,8.0,10.93676471710205,9.084425926208496,6.942327499389648,7.126831531524658
57,the teacher remembered which overachiever the principal had suspended for a week.,29,substitution,low-cloze,overachiever,principal,The teacher remembered which overachiever the principal had,suspended,4.0,6.0,8.0,12.645089149475098,11.100536346435549,11.324447631835938,8.208857536315918
58,sally heard which patient the doctor had treated first thing this morning.,30,substitution,high-cloze,patient,doctor,Sally heard which patient the doctor had,treated,3.0,5.0,7.0,5.907629013061523,4.099879264831543,5.7505645751953125,4.516960620880127
59,sally heard which nurse the doctor had treated first thing this morning.,30,substitution,low-cloze,nurse,doctor,Sally heard which nurse the doctor had,treated,3.0,5.0,7.0,5.7841973304748535,5.752541542053223,7.392275333404541,7.619933605194092
60,the beach bum saw which fish the seagulls had caught along the beach.,31,substitution,high-cloze,fish,seagulls,The beach bum saw which fish the seagulls had,caught,5.0,7.0,9.0,1.831777572631836,2.2632477283477783,2.213301181793213,2.552448272705078
61,the beach bum saw which picnickers the seagulls had caught along the beach.,31,substitution,low-cloze,picnickers,seagulls,The beach bum saw which picnickers the seagulls had,caught,5.0,7.0,9.0,6.311471462249756,4.249143600463867,6.16300630569458,7.701905727386475
62,the circus-goer explained which juggler the clown had tripped in the center ring.,32,substitution,high-cloze,juggler,clown,The circus-goer explained which juggler the clown had,tripped,4.0,6.0,8.0,11.6924210190773,10.630861353129148,11.271018959581852,10.21148681640625
63,the circus-goer explained which child the clown had tripped in the center ring.,32,substitution,low-cloze,child,clown,The circus-goer explained which child the clown had,tripped,4.0,6.0,8.0,12.359543204307556,12.103687267750502,12.047153927385809,10.622997283935547
64,the football fan heard which cheerleader the quarterback had dated after the season.,33,substitution,high-cloze,cheerleader,quarterback,The football fan heard which cheerleader the quarterback had,dated,5.0,7.0,9.0,14.512672424316406,10.032670021057127,9.943647384643556,7.152542591094971
65,the football fan heard which linebacker the quarterback had dated after the season.,33,substitution,low-cloze,linebacker,quarterback,The football fan heard which linebacker the quarterback had,dated,5.0,7.0,9.0,14.782835960388184,15.121484756469728,17.616107940673828,11.398116111755371
66,the seasonal laborer marked which cows the farmer had milked early this morning.,34,substitution,high-cloze,cows,farmer,The seasonal laborer marked which cows the farmer had,milked,5.0,7.0,9.0,5.956323221325874,6.717350807972252,5.2609120244160295,0.4449576437473297
67,the seasonal laborer marked which chickens the farmer had milked early this morning.,34,substitution,low-cloze,chickens,farmer,The seasonal laborer marked which chickens the farmer had,milked,5.0,7.0,9.0,10.560108564794064,10.720600379630923,11.159254098311068,4.21559077501297
68,the secretary knew which manager the ceo had promoted from the old office.,35,substitution,high-cloze,manager,CEO,The secretary knew which manager the CEO had,promoted,4.0,6.0,8.0,8.546948432922363,11.771175384521484,10.451921463012695,11.319374084472656
69,the secretary knew which investor the ceo had promoted from the old office.,35,substitution,low-cloze,investor,CEO,The secretary knew which investor the CEO had,promoted,4.0,6.0,8.0,12.339879035949709,12.560820579528809,11.642178535461426,12.460867881774902
70,general jones heard which terrorist the corporal had captured during the battle.,36,substitution,high-cloze,terrorist,corporal,General Jones heard which terrorist the corporal had,captured,4.0,6.0,8.0,9.927895545959473,7.892776489257812,10.483553886413574,5.515593528747559
71,general jones heard which comrade the corporal had captured during the battle.,36,substitution,low-cloze,comrade,corporal,General Jones heard which comrade the corporal had,captured,4.0,6.0,8.0,10.09889793395996,10.386672973632812,11.640889167785645,6.1486921310424805
72,jason saw which nerd the teacher had praised for his good behavior.,37,substitution,high-cloze,nerd,teacher,Jason saw which nerd the teacher had,praised,3.0,5.0,7.0,12.01220417022705,11.324493408203123,13.652064323425291,4.574607849121094
73,jason saw which rascal the teacher had praised for his good behavior.,37,substitution,low-cloze,rascal,teacher,Jason saw which rascal the teacher had,praised,3.0,5.0,7.0,11.570717811584473,11.086380958557127,14.201408386230469,4.259410381317139
74,jim forgot which addict the therapist had treated in his last session.,38,substitution,high-cloze,addict,therapist,Jim forgot which addict the therapist had,treated,3.0,5.0,7.0,7.786262512207031,8.099045753479004,6.722428798675537,8.696260452270508
75,jim forgot which doctor the therapist had treated in his last session.,38,substitution,low-cloze,doctor,therapist,Jim forgot which doctor the therapist had,treated,3.0,5.0,7.0,7.427669048309326,7.678802490234375,6.725135326385498,8.949654579162598
76,the announcer stated which teammate the player had replaced for the upcoming game.,39,substitution,high-cloze,teammate,player,The announcer stated which teammate the player had,replaced,4.0,6.0,8.0,9.92294216156006,10.453298568725586,9.399547576904297,11.80687427520752
77,the announcer stated which rival the player had replaced for the upcoming game.,39,substitution,low-cloze,rival,player,The announcer stated which rival the player had,replaced,4.0,6.0,8.0,12.043551445007324,12.58078670501709,12.058086395263672,11.930721282958984
78,the crafts fair manager asked which cows the leatherworker had skinned to make his bags.,40,substitution,high-cloze,cows,leatherworker,The crafts fair manager asked which cows the leatherworker had,skinned,6.0,8.0,10.0,13.208234429359436,11.2109245210886,10.910826976411045,18.381359100341797
79,the crafts fair manager asked which customers the leatherworker had skinned to make his bags. ,40,substitution,low-cloze,customers,leatherworker,The crafts fair manager asked which customers the leatherworker had,skinned,6.0,8.0,10.0,16.302898705005646,13.733785808086395,15.094087483361363,17.831911087036133
80,the police woman recognized which officer the lieutenant had promoted to a higher position. ,41,substitution,high-cloze,officer,lieutenant,The police woman recognized which officer the lieutenant had,promoted,5.0,7.0,9.0,12.306285858154297,14.23306369781494,13.312225341796877,0.9971072673797607
81,the police woman recognized which thief the lieutenant had promoted to a higher position. ,41,substitution,low-cloze,thief,lieutenant,The police woman recognized which thief the lieutenant had,promoted,5.0,7.0,9.0,15.07735824584961,16.55911636352539,14.21444034576416,3.723644495010376
82,the reviewer forgot which researchers the authors had cited in their paper.,42,substitution,high-cloze,researchers,authors,The reviewer forgot which researchers the authors had,cited,4.0,6.0,8.0,6.2840423583984375,3.0018320083618164,3.5156073570251465,3.3996994495391846
83,the reviewer forgot which mice the authors had cited in their paper.,42,substitution,low-cloze,mice,authors,The reviewer forgot which mice the authors had,cited,4.0,6.0,8.0,9.919232368469238,7.418346405029297,11.263498306274414,5.954163074493408
84,the swim team captain recalled which champion the swimmer had defeated at last week's race. ,43,substitution,high-cloze,champion,swimmer,The swim team captain recalled which champion the swimmer had,defeated,6.0,8.0,10.0,5.195802211761475,5.482762813568115,5.781191349029541,5.127572059631348
85,the swim team captain recalled which lifeguard the swimmer had defeated at last week's race. ,43,substitution,low-cloze,lifeguard,swimmer,The swim team captain recalled which lifeguard the swimmer had,defeated,6.0,8.0,10.0,12.207136154174805,13.268815994262695,13.60694408416748,6.994996547698975
86,the zoologist marked which pup the seal had birthed over the weekend.,44,substitution,high-cloze,pup,seal,The zoologist marked which pup the seal had,birthed,4.0,6.0,8.0,13.218360765487889,12.77502487001766,11.723045962542528,3.1654300088994205
87,the zoologist marked which walrus the seal had birthed over the weekend.,44,substitution,low-cloze,walrus,seal,The zoologist marked which walrus the seal had,birthed,4.0,6.0,8.0,14.741307356161997,13.568489987832436,14.557719536911463,2.4107303908094764
88,the captain realized which stowaway the sailor had hidden in the cargo hold.,45,substitution,high-cloze,stowaway,sailor,The captain realized which stowaway the sailor had,hidden,4.0,6.0,8.0,6.361740112304688,7.648830890655518,7.95649528503418,5.778111934661865
89,the captain realized which pirate the sailor had hidden in the cargo hold.,45,substitution,low-cloze,pirate,sailor,The captain realized which pirate the sailor had,hidden,4.0,6.0,8.0,7.923969745635986,10.045602798461914,11.284222602844238,5.199934005737305
90,the father recalled which girl the boy had dated in junior high.,46,substitution,high-cloze,girl,boy,The father recalled which girl the boy had,dated,4.0,6.0,8.0,5.993053436279297,7.1813130378723145,8.52110481262207,1.6614775657653809
91,the father recalled which dog the boy had dated in junior high.,46,substitution,low-cloze,dog,boy,The father recalled which dog the boy had,dated,4.0,6.0,8.0,10.32589340209961,12.428220748901367,14.577875137329102,7.777341842651367
92,the japanese scientists showed which salespeople the robots had replaced in the last decade. ,47,substitution,high-cloze,salespeople,robots,The Japanese scientists showed which salespeople the robots had,replaced,5.0,7.0,9.0,10.340168952941896,9.79598903656006,7.479200839996338,6.915304183959961
93,the japanese scientists showed which patients the robots had replaced in the last decade.,47,substitution,low-cloze,patients,robots,The Japanese scientists showed which patients the robots had,replaced,5.0,7.0,9.0,10.527143478393556,8.130899429321289,8.245305061340332,6.9350972175598145
94,the principal forgot which student the teacher had disciplined after school yesterday.,48,substitution,high-cloze,student,teacher,The principal forgot which student the teacher had,disciplined,4.0,6.0,8.0,13.039257049560549,11.665245056152344,10.029006958007812,11.00381851196289
95,the principal forgot which parent the teacher had disciplined after school yesterday.,48,substitution,low-cloze,parent,teacher,The principal forgot which parent the teacher had,disciplined,4.0,6.0,8.0,13.448856353759766,14.238523483276367,12.266050338745115,14.295683860778809
96,the shepherd saw which lamb the sheep had birthed by the barn.,49,substitution,high-cloze,lamb,sheep,The shepherd saw which lamb the sheep had,birthed,4.0,6.0,8.0,17.129394978983328,15.545911067572888,12.839622173691168,7.50907764211297
97,the shepherd saw which predator the sheep had birthed by the barn.,49,substitution,low-cloze,predator,sheep,The shepherd saw which predator the sheep had,birthed,4.0,6.0,8.0,14.361404108116403,17.94859925561468,15.67125632346142,9.773232113569975
98,the snoop determined which bouncer the alcoholic had punched last friday night.,50,substitution,high-cloze,bouncer,alcoholic,The snoop determined which bouncer the alcoholic had,punched,4.0,6.0,8.0,8.221100807189941,10.89207649230957,6.996079444885254,5.831957817077637
99,the snoop determined which psychologist the alcoholic had punched last friday night.,50,substitution,low-cloze,psychologist,alcoholic,The snoop determined which psychologist the alcoholic had,punched,4.0,6.0,8.0,14.233966827392578,15.105491638183594,13.47110652923584,7.791209697723389
100,carla inquired which exterminator the landlord had used in the apartment.,51,substitution,high-cloze,exterminator,landlord,Carla inquired which exterminator the landlord had,used,3.0,5.0,7.0,5.054495811462402,2.803454875946045,3.691446542739868,6.973433494567871
101,carla inquired which neighbor the landlord had used in the apartment.,51,substitution,low-cloze,neighbor,landlord,Carla inquired which neighbor the landlord had,used,3.0,5.0,7.0,7.736357688903809,8.780272483825684,7.483562469482422,8.948920249938965
102,karen learned which teenager the mother had grounded for disobeying her.,52,substitution,high-cloze,teenager,mother,Karen learned which teenager the mother had,grounded,3.0,5.0,7.0,18.910057067871094,16.8059024810791,16.883121490478516,11.72391128540039
103,karen learned which baby the mother had grounded for disobeying her.,52,substitution,low-cloze,baby,mother,Karen learned which baby the mother had,grounded,3.0,5.0,7.0,19.01728630065918,20.430625915527344,19.36280059814453,10.241135597229004
104,sandra observed which biologists the zookeeper had consulted about the food.,53,substitution,high-cloze,biologists,zookeeper,Sandra observed which biologists the zookeeper had,consulted,3.0,5.0,7.0,10.806344032287598,6.328213214874268,8.422645568847656,2.038709878921509
105,sandra observed which gorillas the zookeeper had consulted about the food.,53,substitution,low-cloze,gorillas,zookeeper,Sandra observed which gorillas the zookeeper had,consulted,3.0,5.0,7.0,13.17602825164795,10.377835273742676,12.140439987182615,7.565593719482422
106,the anthropologist discovered which animal the caveman had hunted with flint arrows.,54,substitution,high-cloze,animal,caveman,The anthropologist discovered which animal the caveman had,hunted,4.0,6.0,8.0,5.85915470123291,6.562912940979004,6.053073883056641,6.9301042556762695
107,the anthropologist discovered which goddess the caveman had hunted with flint arrows.,54,substitution,low-cloze,goddess,caveman,The anthropologist discovered which goddess the caveman had,hunted,4.0,6.0,8.0,8.96489143371582,11.023961067199709,14.039158821105955,8.451774597167969
108,the mother wondered which trick-or-treaters the neighbor had scared with his costume.,55,substitution,high-cloze,trick-or-treaters,neighbor,The mother wondered which trick-or-treaters the neighbor had,scared,4.0,6.0,8.0,13.787405967712402,12.521503448486328,11.692235946655272,12.176514625549316
109,the mother wondered which milkman the neighbor had scared with his costume.,55,substitution,low-cloze,milkman,neighbor,The mother wondered which milkman the neighbor had,scared,4.0,6.0,8.0,14.216509819030762,14.421369552612305,14.958137512207031,12.188028335571289
110,the movie buff speculated which actor the stuntman had portrayed in the opening scene.,56,substitution,high-cloze,actor,stuntman,The movie buff speculated which actor the stuntman had,portrayed,5.0,7.0,9.0,8.617777824401855,9.857704162597656,7.291457653045654,4.694218158721924
111,the movie buff speculated which director the stuntman had portrayed in the opening scene. ,56,substitution,low-cloze,director,stuntman,The movie buff speculated which director the stuntman had,portrayed,5.0,7.0,9.0,10.26876735687256,9.98245620727539,8.433594703674316,7.65374231338501
112,the researcher recorded which chimpanzee the biologist had tagged to be studied.,57,substitution,high-cloze,chimpanzee,biologist,The researcher recorded which chimpanzee the biologist had,tagged,4.0,6.0,8.0,9.675881385803224,8.932013511657715,9.777230262756348,11.025398254394531
113,the researcher recorded which assistant the biologist had tagged to be studied.,57,substitution,low-cloze,assistant,biologist,The researcher recorded which assistant the biologist had,tagged,4.0,6.0,8.0,11.302369117736816,10.918449401855469,13.495723724365234,16.106990814208984
114,the sentry knew which guard the captain had fired from the position.,58,substitution,high-cloze,captain,captain,The sentry knew which guard the captain had,fired,6.0,6.0,8.0,7.159167289733887,9.24016284942627,9.934714317321776,6.160611152648926
115,the sentry knew which townsperson the captain had fired from the position.,58,substitution,low-cloze,townsperson,captain,The sentry knew which townsperson the captain had,fired,4.0,6.0,8.0,9.377958297729492,11.8939790725708,10.657097816467283,6.0985541343688965
116,the team manager knew which athlete the officials had penalized for being unsportsmanlike.,59,substitution,high-cloze,athlete,officials,The team manager knew which athlete the officials had,penalized,5.0,7.0,9.0,12.36806210502982,11.490598395466805,11.688453659415243,0.14363303408026695
117,the team manager knew which umpire the officials had penalized for being unsportsmanlike. ,59,substitution,low-cloze,umpire,officials,The team manager knew which umpire the officials had,penalized,5.0,7.0,9.0,13.371554512530563,14.643433570861816,13.001532465219498,0.127498310059309
118,the theater owner described which spectators the magician had amazed with his tricks.,60,substitution,high-cloze,spectators,magician,The theater owner described which spectators the magician had,amazed,5.0,7.0,9.0,15.606856346130373,15.98151969909668,15.58299446105957,13.211748123168945
119,the theater owner described which rabbit the magician had amazed with his tricks.,60,substitution,low-cloze,rabbit,magician,The theater owner described which rabbit the magician had,amazed,5.0,7.0,9.0,18.995744705200195,16.87317657470703,17.75933837890625,15.721184730529785
120,the librarian documented which celebrities the journalist had interviewed for the magazine.,61,reversal,canonical,celebrities,journalist,The librarian documented which celebrities the journalist had,interviewed,4.0,6.0,8.0,4.920805931091309,3.0756330490112305,3.5103790760040283,6.551669597625732
121,the librarian documented which journalist the celebrities had interviewed for the magazine.,61,reversal,reversed,journalist,celebrities,The librarian documented which journalist the celebrities had,interviewed,4.0,6.0,8.0,6.36752986907959,5.313058853149414,5.851898193359375,2.0224099159240723
122,the old widower remembered which villager the ghost had haunted for many years.,62,reversal,canonical,villager,ghost,The old widower remembered which villager the ghost had,haunted,5.0,7.0,9.0,7.731338500976562,7.034205913543701,4.846795558929443,6.524562358856201
